"","benchmark","dataset","algorithm","FM","AR"
"250","wut","smile","hclust_centroid",0.71331097919771,0.604757770398608
"251","wut","smile","genie",1,1
"252","wut","smile","spectral",0.962045465412446,0.944670881647229
"253","wut","twosplashes","hclust_complete",0.609455946472134,0.218952078228183
"254","wut","twosplashes","hclust_average",0.689567502245193,0.00225619042247157
"255","wut","twosplashes","hclust_mcquitty",0.602089556641828,0.191647189790072
"256","wut","twosplashes","hclust_median",0.638643216080402,0.279093216080402
"257","wut","twosplashes","hclust_centroid",0.689567502245193,0.00225619042247157
"258","wut","twosplashes","genie",0.750804020100503,0.502854020100503
"259","wut","twosplashes","spectral",1,1
"260","wut","x1","hclust_complete",1,1
"261","wut","x1","hclust_average",1,1
"262","wut","x1","hclust_mcquitty",1,1
"263","wut","x1","hclust_median",1,1
"264","wut","x1","hclust_centroid",1,1
"265","wut","x1","genie",1,1
"266","wut","x1","spectral",0.698932168369532,0.421749196969462
"267","wut","x2","hclust_complete",0.550659146316221,0.209054806135108
"268","wut","x2","hclust_average",0.586763819969327,0.250165848931435
"269","wut","x2","hclust_mcquitty",0.509764984584528,-0.00751194184700119
"270","wut","x2","hclust_median",0.556596261514952,-0.00670150756012656
"271","wut","x2","hclust_centroid",0.596878437830276,0.271307635344954
"272","wut","x2","genie",0.795185514456828,0.688287234237034
"273","wut","x2","spectral",0.724971520758971,0.572601334017445
"274","wut","x3","hclust_complete",0.693630000589124,0.57638408431456
"275","wut","x3","hclust_average",0.678501880817369,0.504547240137092
"276","wut","x3","hclust_mcquitty",0.696287961515743,0.534214496673551
"277","wut","x3","hclust_median",0.779226792110043,0.643603734916133
"278","wut","x3","hclust_centroid",0.729353939864123,0.566646970995598
"279","wut","x3","genie",0.671337184820516,0.496713148093008
"280","wut","x3","spectral",0.691356982500251,0.522642573517414
"281","wut","z1","hclust_complete",0.45745197210723,0.180822463280268
"282","wut","z1","hclust_average",0.511465047692704,0.213593840351075
"283","wut","z1","hclust_mcquitty",0.473612076699601,0.200246931899682
"284","wut","z1","hclust_median",0.473612076699601,0.200246931899682
"285","wut","z1","hclust_centroid",0.516480390616326,0.0471332555046608
"286","wut","z1","genie",0.611621824687607,0.394419784400761
"287","wut","z1","spectral",0.367420098137658,0.0504209987784391
"288","wut","z2","hclust_complete",0.623078840328761,0.441388297493468
"289","wut","z2","hclust_average",0.675862155741681,0.511529995333818
"290","wut","z2","hclust_mcquitty",0.594232209957547,0.385994207530666
"291","wut","z2","hclust_median",0.697553599769684,0.523076518042705
"292","wut","z2","hclust_centroid",0.776260688525282,0.57437111650907
"293","wut","z2","genie",0.763692815579215,0.632896042725747
"294","wut","z2","spectral",0.336235954406712,-0.00985507560548851
"295","wut","z3","hclust_complete",0.953529024522577,0.933199091926119
"296","wut","z3","hclust_average",0.99833060567777,0.997617794691025
"297","wut","z3","hclust_mcquitty",0.957457330803564,0.939522341918026
"298","wut","z3","hclust_median",0.996677637175018,0.995251534149178
"299","wut","z3","hclust_centroid",1,1
"300","wut","z3","genie",0.772664124422627,0.664112252140108
"301","wut","z3","spectral",0.297929154266345,0.00145751925764346
"302","fcps","atom","hdbscan",0.138189234621793,0.00910562811211382
"303","fcps","chainlink","hdbscan",0.155660786333622,0.00452038788375516
"304","fcps","engytime","hdbscan",0.0889746735086633,0.000970213865597479
"305","fcps","hepta","hdbscan",1,1
"306","fcps","lsun","hdbscan",0.827585545217981,0.733869352335286
"307","fcps","target","hdbscan",0.99981193908053,0.999634881516244
"308","fcps","tetra","hdbscan",0.910626981304708,0.880896529206463
"309","fcps","twodiamonds","hdbscan",0.104485981854033,0.00574685599253375
"310","fcps","wingnut","hdbscan",0.12249606632322,0.00381354609797208
"311","graves","dense","hdbscan",0.158466464609198,0.0216505224868262
"312","graves","fuzzyx","hdbscan",0.262622357197556,0.0836524343834416
"313","graves","line","hdbscan",0.172727423668916,0.0099704381791033
"314","graves","parabolic","hdbscan",0.123728988698301,0.00349817932598257
"315","graves","ring","hdbscan",0.115649965223844,0.00490078507497722
"316","graves","zigzag","hdbscan",0.468845938194486,0.24059882885235
"317","other","iris5","hdbscan",0.704249772407122,0.152700186219739
"318","other","iris","hdbscan",0.771454276289177,0.568115942028986
"319","other","square","hdbscan",0.125418236954611,0.00385050019148555
"320","sipu","a1","hdbscan",0.662939064540044,0.631346929310357
"321","sipu","a2","hdbscan",0.546505908006428,0.490128887208359
"322","sipu","a3","hdbscan",0.412021041298848,0.340919557192283
"323","sipu","aggregation","hdbscan",0.865244483246756,0.808943417036094
"324","sipu","compound","hdbscan",0.877186589130245,0.826437140794038
"325","sipu","d31","hdbscan",0.184478180780137,0.00439058730316533
"326","sipu","flame","hdbscan",0.730023527047636,0.0127504301311393
"327","sipu","jain","hdbscan",0.145127933815976,0.0134753159418421
"328","sipu","pathbased","hdbscan",0.396139290340704,0.212415722103046
"329","sipu","r15","hdbscan",0.455060046606708,0.263675476336816
"330","sipu","s1","hdbscan",0.932218156752778,0.927073879342761
"331","sipu","s2","hdbscan",0.683101336417759,0.657398028272843
"332","sipu","s3","hdbscan",0.288238838740682,0.164591447600216
"333","sipu","s4","hdbscan",0.292334062002363,0.155353455535742
"334","sipu","spiral","hdbscan",1,1
"335","sipu","unbalance","hdbscan",0.999934153346467,0.999907894422383
"336","wut","cross","hdbscan",0.114227009880953,0.0217701865123668
"337","wut","smile","hdbscan",0.364523521354995,0.187628761985631
"338","wut","twosplashes","hdbscan",0.126435008640768,0.012522811808928
"339","wut","x1","hdbscan",1,1
"340","wut","x2","hdbscan",0.631187700737148,0.474842755373236
"341","wut","x3","hdbscan",0.645546983324677,0.533315285035745
"342","wut","z1","hdbscan",0.362367707216939,0.179370446739688
"343","wut","z2","hdbscan",0.884290475563513,0.817677977305888
"344","wut","z3","hdbscan",0.829373536218691,0.722994284623715
"345","fcps","atom","kmeans",0.649159356872643,0.145644692692227
"346","fcps","chainlink","kmeans",0.545910729638913,0.0927278232756399
"347","fcps","engytime","kmeans",0.907634645408638,0.815060637690859
"348","fcps","hepta","kmeans",1,1
"349","fcps","lsun","kmeans",0.637876263591423,0.428559900469089
"350","fcps","target","kmeans",0.793335755001845,0.636418714175416
"351","fcps","tetra","kmeans",1,1
"352","fcps","twodiamonds","kmeans",1,1
"353","fcps","wingnut","kmeans",0.929679507216674,0.859497168372491
"354","graves","dense","kmeans",0.904534033733291,0.809050047977375
"355","graves","fuzzyx","kmeans",0.690316728665763,0.607110093990514
"356","graves","line","kmeans",0.597699388434166,-0.00923962339548749
"357","graves","parabolic","kmeans",0.794527361742157,0.589413107324894
"358","graves","ring","kmeans",0.652341946693618,0.167556787056539
"359","graves","zigzag","kmeans",0.49620486988675,0.136363263086314
"360","other","iris5","kmeans",0.703799114452359,0.4625241012374
"361","other","iris","kmeans",0.820808072911415,0.73023827228347
"362","other","square","kmeans",0.517332283968294,0.0279424172206254
"363","sipu","a1","kmeans",0.852730191159748,0.842452092210063
"364","sipu","a2","kmeans",0.808396762768891,0.798767432862714
"365","sipu","a3","kmeans",0.833730597123536,0.827945997842368
"366","sipu","aggregation","kmeans",0.759447355823436,0.693494492323897
"367","sipu","compound","kmeans",0.642208897646545,0.537865257476241
