,benchmark,dataset,algorithm,n_clusters,FM,AM,AR
0,fcps,target,linkage_ward,6.0,0.7948341762290656,0.6337179256190631,0.6387791202472746
0,fcps,target,genie,6.0,0.9849825469611299,0.9383050282960691,0.9702086783899794
0,fcps,target,kmeans,6.0,0.7927924586308429,0.6316384052193554,0.6355633954868498
0,fcps,target,dbscan,6.0,0.9998119390805301,0.9859175714868579,0.999634881516244
0,fcps,target,meanshift,6.0,0.7873715873600592,0.6455732865164031,0.6269876437547921
0,fcps,hepta,linkage_single,2.0,0.42862775877179426,0.33803374203167524,0.09900950560752377
0,fcps,hepta,linkage_average,2.0,0.5222941192686927,0.5135866560239917,0.2691721931454615
0,fcps,hepta,linkage_weighted,2.0,0.5222941192686927,0.5135866560239917,0.2691721931454615
0,fcps,hepta,linkage_centroid,2.0,0.37265466773681016,3.9943320941100137e-16,0.0
0,fcps,hepta,linkage_median,2.0,0.37265466773681016,3.9943320941100137e-16,0.0
0,fcps,hepta,linkage_ward,2.0,0.5222941192686927,0.5135866560239917,0.2691721931454615
0,fcps,hepta,genie,2.0,0.42862775877179426,0.33803374203167524,0.09900950560752377
0,fcps,hepta,kmeans,2.0,0.5222941192686927,0.5135866560239917,0.2691721931454615
0,fcps,hepta,dbscan,2.0,0.4426094293923942,0.6063235473601288,0.31328213511722036
0,fcps,hepta,meanshift,2.0,0.37265466773681016,3.9943320941100137e-16,0.0
0,fcps,hepta,linkage_single,3.0,0.5015769720930853,0.569120745875758,0.23147204406832303
0,fcps,hepta,linkage_average,3.0,0.5692224410163057,0.6499084187433426,0.3539095574806536
0,fcps,hepta,linkage_weighted,3.0,0.5692224410163057,0.6499084187433426,0.3539095574806536
0,fcps,hepta,linkage_centroid,3.0,0.37265466773681016,3.9943320941100137e-16,0.0
0,fcps,hepta,linkage_median,3.0,0.5015769720930853,0.569120745875758,0.23147204406832303
0,fcps,hepta,linkage_ward,3.0,0.5692224410163057,0.6499084187433426,0.3539095574806536
0,fcps,hepta,genie,3.0,0.42862775877179426,0.33803374203167524,0.09900950560752377
0,fcps,hepta,kmeans,3.0,0.5692224410163057,0.6499084187433426,0.3539095574806536
0,fcps,hepta,dbscan,3.0,0.4426094293923942,0.6063235473601288,0.31328213511722036
0,fcps,hepta,meanshift,3.0,0.37265466773681016,3.9943320941100137e-16,0.0
0,fcps,hepta,linkage_single,4.0,0.5979857201328858,0.734471704925826,0.40508709880579136
0,fcps,hepta,linkage_average,4.0,0.5979857201328858,0.734471704925826,0.40508709880579136
0,fcps,hepta,linkage_weighted,4.0,0.5979857201328858,0.734471704925826,0.40508709880579136
0,fcps,hepta,linkage_centroid,4.0,0.5979857201328858,0.734471704925826,0.40508709880579136
0,fcps,hepta,linkage_median,4.0,0.5015769720930853,0.569120745875758,0.23147204406832303
